"","party","legis","Chamber","Senate","test"
"1","PFL","48",0.165834175263861,0.355981139809484,0
"2","PFL","49",0.119447524324017,0.310123355326478,0
"3","PFL","50",0.107325364014565,0.236803004101525,0
"4","PFL","51",0.116404645609458,0.219190007625502,0
"5","PFL","52",0.211479552142491,0.193908935603139,1
"6","PFL","53",0.497811078408116,0.525873677743467,0
"7","PMDB","48",0.152814699873767,0.183271368676597,0
"8","PMDB","49",0.112322704066467,0.281313925325835,0
"9","PMDB","50",0.165897755205001,0.168720819208014,0
"10","PMDB","51",0.162619802546339,0.211974261199461,0
"11","PMDB","52",0.139267271539016,0.24292991941705,0
"12","PMDB","53",0.130977677839386,0.367989205987284,0
"13","PSDB","48",0.244545430119704,0.286505034737072,0
"14","PSDB","49",0.171486256214078,0.335587573551811,0
"15","PSDB","50",0.126315755723531,0.274387572671877,0
"16","PSDB","51",0.122852336919076,0.332887166934264,0
"17","PSDB","52",0.248089282923516,0.383957207260997,0
"18","PSDB","53",0.137261582679104,0.392723733622185,0
"19","PT","53",0.164656802700103,0.310734001799022,0
